"URL","ENABLE","TWITTER"
"https://florarblog.wordpress.com/feed/",1,""
"http://feeds.feedburner.com/IsabellaVelsquez",1,""
"http://feeds.feedburner.com/LibdRstatsClubOnLibdRstatsClub",1,""
"https://blog.rmhogervorst.nl/categories/r/index.xml",1,""
"https://feeds.feedburner.com/Amitkohlicom",1,""
"http://feeds.feedburner.com/PostsOnThomasRohrweekly",1,""
"https://rtask.thinkr.fr/feed/",1,""
"https://feeds.feedburner.com/ROnLockeDataBlogrweekly",1,""
"https://feeds.feedburner.com/ROnSamAbbottxxxx",1,""
"https://feeds.feedburner.com/Rcase4baseOnRBlogxxx",1,""
"https://feeds.feedburner.com/nimahejazi-HRfSxxx",1,""
"https://feeds.feedburner.com/ROnNicCranesBlogxxx",1,""
"https://feeds.feedburner.com/PostsOnLorenzoBusettoWebsiteBlogxxx",1,""
"https://feeds.feedburner.com/PostsOnPeterHickeyxxx",1,""
"https://feeds.feedburner.com/Jottr2",1,""
"http://feeds.feedburner.com/DentalDataScience",1,""
"http://feeds.feedburner.com/LIBDrstats",1,""
"http://feeds.feedburner.com/FellgernonBit-rstats",1,""
"https://daranzolin.github.io//feed.xml",1,""
"http://feeds.feedburner.com/PostsOnAlisonPresmanesHillFeed",1,""
"http://feeds.feedburner.com/RonaldRichman",1,""
"https://feeds.feedburner.com/BlogsOnJosephStachelek",1,""
"https://brandonlebeau.org/categories/r/index.xml",1,""
"https://eringrand.github.io/feed",1,""
"http://feeds.feedburner.com/RLanguageOnDataScienceUnpluggedfeed",1,""
"https://mltconsecol.github.io/tags/r/index.xml",1,""
"http://feeds.feedburner.com/BlogsOnJosephStachelekfeed",1,""
"http://feeds.feedburner.com/RonaldRichmanfeed",1,""
"http://feeds.feedburner.com/ArticlesOnJenniferThompsonfeed",1,""
"https://coolbutuseless.github.io/index.xml",1,""
"https://feeds.feedburner.com/netlify/DIOIxx",1,""
"http://feeds.feedburner.com/rbind/YFDCxx",1,""
"http://feeds.feedburner.com/JesseSadlerxx",1,""
"http://feeds.feedburner.com/StatisticalAndRBlogxx",1,""
"https://recology.info/feed.R.xml",1,""
"https://feeds.feedburner.com/PostsOnStatnmapxxx",1,""
"http://feeds.feedburner.com/SufficientlyMinimalxxx",1,""
"http://feeds.feedburner.com/callumtaylor",1,""
"https://eliocamp.github.io/codigo-r/index.xml",1,""
"http://feeds.feedburner.com/DataPlanes",1,""
"https://genesandhistory.wordpress.com/tag/rstats/feed/",1,""
"http://feeds.feedburner.com/brodrigues/oUlsxx",1,""
